q_str,t_str,a_str
采购计划的风险等级是多少？,<triple id=224> 采购计划	风险等级	低,<answer id=224> 低
采购复审的含义是什么？,<triple id=226> 采购复审	含义	因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。,<answer id=226> 因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。
采购复审的定义是什么？,<triple id=227> 采购复审	含义	因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。,<answer id=227> 因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。
采购复审是什么意思？,<triple id=228> 采购复审	含义	因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。,<answer id=228> 因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。
采购复审代表什么？,<triple id=229> 采购复审	含义	因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。,<answer id=229> 因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。
采购复审指什么？,<triple id=230> 采购复审	含义	因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。,<answer id=230> 因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。
采购复审的风险等级是多少？,<triple id=233> 采购复审	风险等级	低,<answer id=233> 低
采购复审是什么等级的风险？,<triple id=234> 采购复审	风险等级	低,<answer id=234> 低
关联关系的定义是什么？,<triple id=236> 关联关系	含义	因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。,<answer id=236> 因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。
关联关系是什么意思？,<triple id=237> 关联关系	含义	因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。,<answer id=237> 因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。
关联关系指什么？,<triple id=239> 关联关系	含义	因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。,<answer id=239> 因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。
关联关系的风险等级是多少？,<triple id=242> 关联关系	风险等级	高,<answer id=242> 高
关联关系是什么等级的风险？,<triple id=243> 关联关系	风险等级	高,<answer id=243> 高
采购审批代表什么？,<triple id=247> 采购审批	含义	因采购审批把控不严导致公司利益受损的风险。,<answer id=247> 因采购审批把控不严导致公司利益受损的风险。
采购审批指什么？,<triple id=248> 采购审批	含义	因采购审批把控不严导致公司利益受损的风险。,<answer id=248> 因采购审批把控不严导致公司利益受损的风险。
怎么解释采购审批？,<triple id=249> 采购审批	含义	因采购审批把控不严导致公司利益受损的风险。,<answer id=249> 因采购审批把控不严导致公司利益受损的风险。
采购审批是什么等级的风险？,<triple id=252> 采购审批	风险等级	低,<answer id=252> 低
销售合同签约的含义是什么？,<triple id=253> 销售合同签约	含义	销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。,<answer id=253> 销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。
销售合同签约的定义是什么？,<triple id=254> 销售合同签约	含义	销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。,<answer id=254> 销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。
销售合同签约是什么意思？,<triple id=255> 销售合同签约	含义	销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。,<answer id=255> 销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。
销售合同签约指什么？,<triple id=257> 销售合同签约	含义	销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。,<answer id=257> 销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。
怎么解释销售合同签约？,<triple id=258> 销售合同签约	含义	销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。,<answer id=258> 销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。
销售合同签约是什么等级的风险？,<triple id=261> 销售合同签约	风险等级	低,<answer id=261> 低
销售合同文本关键用词的含义是什么？,<triple id=262> 销售合同文本关键用词	含义	因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。,<answer id=262> 因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。
销售合同文本关键用词的定义是什么？,<triple id=263> 销售合同文本关键用词	含义	因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。,<answer id=263> 因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。
销售合同文本关键用词指什么？,<triple id=266> 销售合同文本关键用词	含义	因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。,<answer id=266> 因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。
怎么解释销售合同文本关键用词？,<triple id=267> 销售合同文本关键用词	含义	因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。,<answer id=267> 因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。
怎么理解销售合同文本关键用词？,<triple id=268> 销售合同文本关键用词	含义	因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。,<answer id=268> 因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。
销售合同文本关键用词的风险等级是多少？,<triple id=269> 销售合同文本关键用词	风险等级	中,<answer id=269> 中
销售合同文本关键用词是什么等级的风险？,<triple id=270> 销售合同文本关键用词	风险等级	中,<answer id=270> 中
合同变更的含义是什么？,<triple id=271> 合同变更	含义	合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。,<answer id=271> 合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。
合同变更的定义是什么？,<triple id=272> 合同变更	含义	合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。,<answer id=272> 合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。
